교육주차,기수,교육과정,교육기간,교육시작일,교육종료일,인원
6월 2주차 (6.9.~6.13.),3,신규임용(후보)자 과정,3주,2025-06-09,2025-06-27,90
6월 2주차 (6.9.~6.13.),5,신규공무원 역량향상 심화 과정,3일,2025-06-11,2025-06-13,40
6월 2주차 (6.9.~6.13.),2,기획능력 향상 과정,3일,2025-06-11,2025-06-13,30
6월 2주차 (6.9.~6.13.),3,재난관리 실무 과정,3일,2025-06-11,2025-06-13,40
6월 2주차 (6.9.~6.13.),1,디지털 행정 서비스 과정(★),2일,2025-06-12,2025-06-12,30
6월 3주차 (6.16.~6.20.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
6월 3주차 (6.16.~6.20.),3,신규임용(후보)자 과정,3주,2025-06-09,2025-06-27,90
6월 3주차 (6.16.~6.20.),2,가야사 바로알기,3일,2025-06-18,2025-06-20,30
6월 3주차 (6.16.~6.20.),2,드론 이해와 실전 활용 과정,3일,2025-06-18,2025-06-20,20
6월 3주차 (6.16.~6.20.),1,시·군 팀장 역량향상 과정,3일,2025-06-18,2025-06-20,20
6월 4주차 (6.23.~6.27.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
6월 4주차 (6.23.~6.27.),3,신규임용(후보)자 과정,3주,2025-06-09,2025-06-27,90
6월 4주차 (6.23.~6.27.),1,재난안전 통신망 과정(★),2일,2025-06-26,2025-06-27,20
6월 4주차 (6.23.~6.27.),1,파워포인트 활용 과정,1일,2025-06-27,2025-06-27,30
7월 1주차 (6.30.~7.4.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
7월 1주차 (6.30.~7.4.),3,미래설계 과정,2주,2025-06-30,2025-07-11,50
7월 1주차 (6.30.~7.4.),1,디지털 리더십과 변화관리 과정(★),1일,2025-07-02,2025-07-02,20
7월 1주차 (6.30.~7.4.),6,신규공무원 역량향상 심화 과정,3일,2025-07-02,2025-07-04,40
7월 1주차 (6.30.~7.4.),1,면접관 양성 과정,3일,2025-07-02,2025-07-04,20
7월 1주차 (6.30.~7.4.),4,업무용 오피스 활용 과정,3일,2025-07-02,2025-07-04,30
7월 2주차 (7.7.~7.11.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
7월 2주차 (7.7.~7.11.),3,미래설계 과정,2주,2025-06-30,2025-07-11,50
7월 2주차 (7.7.~7.11.),2,6급 승진자 역량향상 과정,4일,2025-07-08,2025-07-11,20
7월 2주차 (7.7.~7.11.),1,투자활성화 과정,3일,2025-07-09,2025-07-11,20
7월 2주차 (7.7.~7.11.),2,스마트기기 활용 과정,3일,2025-07-09,2025-07-11,30
7월 2주차 (7.7.~7.11.),1,경남의 복지과정(★),2일,2025-07-10,2025-07-11,20
7월 3주차 (7.14.~7.18.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
7월 3주차 (7.14.~7.18.),2,명품 스피치 과정,3일,2025-07-16,2025-07-18,20
7월 3주차 (7.14.~7.18.),1,산림정책실무 과정,3일,2025-07-16,2025-07-18,30
7월 3주차 (7.14.~7.18.),2,전입공무원 역량 향상 과정,3일,2025-07-16,2025-07-18,30
7월 3주차 (7.14.~7.18.),3,한글 활용 과정,1일,2025-07-18,2025-07-18,30
7월 4주차 (7.21.~7.25.),22,중견리더 과정,43주,2025-02-17,2025-12-12,80
7월 4주차 (7.21.~7.25.),4,7·8급 승진자 역량향상 과정,4일,2025-07-22,2025-07-25,30
7월 4주차 (7.21.~7.25.),1,공공언어 바르게 쓰기,3일,2025-07-23,2025-07-25,30
7월 4주차 (7.21.~7.25.),2,생성형 AI실습 과정,3일,2025-07-23,2025-07-25,30
7월 4주차 (7.21.~7.25.),3,계약실무 과정,2일,2025-07-24,2025-07-25,20
7월 5주차 (7.28.~8.1.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
7월 5주차 (7.28.~8.1.),1,공공 노사관계 이해 과정(★),3일,2025-07-30,2025-08-01,20
7월 5주차 (7.28.~8.1.),1,경남 미래산업과 일자리 과정,3일,2025-07-30,2025-08-01,20
7월 5주차 (7.28.~8.1.),4,시·군 팀장 리더십 과정,3일,2025-07-30,2025-08-01,20
7월 5주차 (7.28.~8.1.),4,계약실무 과정,2일,2025-07-31,2025-08-01,20
7월 5주차 (7.28.~8.1.),3,엑셀 활용 과정,1일,2025-08-01,2025-08-01,30
8월 1주차 (8.4.~8.8.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
8월 1주차 (8.4.~8.8.),2,예산회계실무 과정,3일,2025-08-06,2025-08-08,30
8월 2주차 (8.11.~8.15.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
8월 2주차 (8.11.~8.15.),2,지방의회 공무원 실무역량 향상 과정,3일,2025-08-11,2025-08-13,30
8월 3주차 (8.18.~8.22.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
8월 4주차 (8.25.~8.29.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
9월 1주차 (9.1.~9.5.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
9월 1주차 (9.1.~9.5.),7,신규공무원 역량향상 심화 과정,3일,2025-09-03,2025-09-05,40
9월 1주차 (9.1.~9.5.),3,5급 관리자 리더십 과정,3일,2025-09-03,2025-09-05,20
9월 1주차 (9.1.~9.5.),2,인생 2모작 준비 과정,3일,2025-09-03,2025-09-05,30
9월 1주차 (9.1.~9.5.),2,행사실무 과정,2일,2025-09-04,2025-09-05,20
9월 1주차 (9.1.~9.5.),2,디자인 플랫폼 활용 과정,1일,2025-09-05,2025-09-05,30
