교육과정,기수,분류,교육시작일,교육종료일,교육장소,교육인원,전반만족도,역량향상도,현업적용도,교과편만족도,강의만족도,종합만족도,순위
신규 임용(후보)자 과정,3,기본(기본),2024-04-15,2024-05-03,인재개발원,88,4.49,4.38,4.38,4.43,4.53,4.461,106
신규 임용(후보)자 과정,4,기본(기본),2024-05-13,2024-05-31,인재개발원,87,4.53,4.46,4.34,4.41,4.55,4.461,107
엑셀활용(중급) 과정,2,핵심(디지털),2024-07-19,2024-07-19,인재개발원,27,4.46,4.58,4.58,4.58,4.57,4.46,108
투자유치 활성화 과정,1,핵심(핵심과제),2024-05-01,2024-05-03,인재개발원,18,4.5,4.38,4.31,4.5,4.58,4.459,109
스마트기기 활용 과정,4,핵심(디지털),2024-12-11,2024-12-13,인재개발원,26,4.42,4.27,4.23,4.54,4.53,4.457,110
5급 관리자 리더십 과정,1,기본(리더십),2024-05-01,2024-05-03,인재개발원,15,4.27,4.47,4.4,4.47,4.55,4.454,111
문화유산 이해 과정,2,직무(인문·소양),2024-04-24,2024-04-26,현장캠퍼스,31,4.48,4.42,4.29,4.45,4.19,4.453,112
지방세 실무 과정,1,직무(전문),2024-02-27,2024-02-29,인재개발원,20,4.68,4.37,4.47,4.42,4.48,4.453,113
예산회계 실무 과정,1,직무(공통),2024-03-20,2024-03-22,인재개발원,24,4.46,4.5,4.58,4.46,4.48,4.45,114
공공언어 바르게 쓰기 과정,1,직무(공통),2024-07-10,2024-07-12,인재개발원,18,4.35,4.41,4.59,4.24,4.52,4.448,115
신규공무원 역량향상 심화 과정,4,기본(기본),2024-06-26,2024-06-28,인재개발원,29,4.41,4.37,4.41,4.44,4.53,4.447,116
토목실무 과정,1,직무(전문),2024-05-08,2024-05-10,인재개발원,25,4.54,4.42,4.38,4.5,4.47,4.443,117
6급 승진자 역량향상 과정,3,기본(기본),2024-09-03,2024-09-06,인재개발원,17,4.41,4.24,4.41,4.47,4.42,4.43,118
신규공무원 역량향상 심화 과정,2,기본(기본),2024-04-17,2024-04-19,인재개발원,33,4.45,4.39,4.45,4.42,4.49,4.423,119
6급 승진자 역량향상 과정,1,기본(기본),2024-03-26,2024-03-29,인재개발원,19,4.56,4.39,4.39,4.33,4.31,4.422,120
신규 임용(후보)자 과정,9,기본(기본),2024-10-14,2024-11-01,인재개발원,259,4.46,4.44,4.37,4.44,4.54,4.422,121
신규 임용(후보)자 과정,8,기본(기본),2024-09-23,2024-10-11,인재개발원,66,4.42,4.4,4.37,4.42,4.46,4.418,122
공직자 이해충돌 방지 과정,2,기본(기본),2024-10-08,2024-10-08,온라인,16,4.33,4.33,4.33,4.47,4.66,4.418,123
홍보실무 과정,1,직무(공통),2024-05-23,2024-05-24,인재개발원,24,4.22,4.35,4.35,4.35,4.54,4.416,124
우주항공산업과 UAM 과정,1,핵심(핵심과제),2024-09-04,2024-09-06,인재개발원,21,4.33,4.43,4.24,4.43,4.39,4.411,125
MICE 사업유치 역량강화 과정,1,핵심(핵심과제),2024-06-19,2024-06-21,인재개발원,20,4.47,4.41,4.35,4.29,4.49,4.411,126
6급 승진자 역량향상 과정,2,기본(기본),2024-05-21,2024-05-24,인재개발원,14,4.55,4.36,4.36,4.36,4.23,4.401,127
계약실무 과정,1,직무(공통),2024-03-12,2024-03-14,인재개발원,19,4.39,4.56,4.5,4.5,4.76,4.401,128
지속가능발전목표 이행 과정,1,직무(전문),2024-05-29,2024-05-31,인재개발원,16,4.56,4.38,4.44,4.31,4.52,4.397,129
신규 임용(후보)자 과정,11,기본(기본),2024-11-25,2024-12-13,인재개발원,234,4.45,4.35,4.33,4.38,4.56,4.396,130
행사실무 과정,1,직무(공통),2024-04-04,2024-04-05,인재개발원,21,4.43,4.48,4.48,4.57,4.44,4.389,131
지역특화 관광 콘텐츠 개발 과정,1,핵심(핵심과제),2024-04-24,2024-04-26,인재개발원,16,4.4,4.53,4.4,4.2,4.42,4.381,132
신규 임용(후보)자 과정,2,기본(기본),2024-03-18,2024-04-05,인재개발원,89,4.39,4.36,4.37,4.3,4.43,4.379,133
보조금 단체 회계실무 과정,2,핵심(도민역량),2024-04-02,2024-04-02,현장캠퍼스,36,4.3,4.37,4.37,4.41,4.58,4.37,134
재난안전 관리자 과정,2,직무(전문),2024-10-04,2024-10-04,온라인,20,4.44,4.44,4.31,4.25,4.42,4.364,135
재난관리 실무 과정,5,직무(전문),2024-11-06,2024-11-08,인재개발원,38,4.35,4.41,4.35,4.3,4.38,4.362,136
신규공무원 역량향상 심화 과정,5,기본(기본),2024-07-17,2024-07-19,인재개발원,33,4.42,4.39,4.42,4.35,4.38,4.362,137
신규 임용(후보)자 과정,6,기본(기본),2024-06-24,2024-07-12,인재개발원,89,4.31,4.31,4.26,4.24,4.56,4.353,138
신규 임용(후보)자 과정,7,기본(기본),2024-07-15,2024-08-02,인재개발원,88,4.37,4.34,4.29,4.3,4.47,4.35,139
7·8급 승진자 역량향상 과정,4,기본(기본),2024-09-24,2024-09-27,인재개발원,25,4.55,4.3,4.3,4.1,4.46,4.347,140
신규 임용(후보)자 과정,10,기본(기본),2024-11-04,2024-11-22,인재개발원,253,4.46,4.36,4.34,4.34,4.47,4.347,141
가야사 바로알기 과정,2,직무(인문·소양),2024-06-26,2024-06-28,인재개발원,26,4.13,4.43,4.17,4.35,4.46,4.346,142
저수지·댐 안전관리 과정,1,직무(전문),2024-04-24,2024-04-26,인재개발원,27,4.27,4.35,4.35,4.31,4.37,4.341,143
인구소멸 대응과 지역균형 발전 과정,1,핵심(핵심과제),2024-10-11,2024-10-11,인재개발원,14,4.45,4.36,4.18,4.27,4.42,4.33,144
재난관리 실무 과정,6,직무(전문),2024-12-04,2024-12-06,인재개발원,38,4.33,4.36,4.36,4.33,4.33,4.328,145
4차 산업혁명과 AI 활용 과정,1,핵심(디지털),2024-03-06,2024-03-08,인재개발원,24,4.25,4.33,4.08,4.25,4.53,4.32,146
식품위생감시원 직무교육 과정,1,직무(전문),2024-02-26,2024-02-26,인재개발원,49,4.36,4.39,4.39,4.36,4.46,4.316,147
공공언어 바르게 쓰기 과정,2,직무(공통),2024-11-06,2024-11-08,인재개발원,32,4.37,4.3,4.43,4.4,4.39,4.314,148
기후위기 적응 대응 과정,1,핵심(핵심과제),2024-06-20,2024-06-21,인재개발원,25,4.19,4.33,4.33,4.29,4.35,4.314,149
재난안전 관리자 과정,1,직무(전문),2024-06-28,2024-06-28,온라인,21,4.24,4.47,4.18,4.24,4.33,4.313,150
신규 임용(후보)자 과정,1,기본(기본),2024-02-19,2024-03-08,인재개발원,90,4.33,4.12,4.16,4.25,4.43,4.291,151
중대재해 예방 실무 과정,2,직무(전문),2024-11-29,2024-11-29,온라인,182,4.34,4.31,4.28,4.32,4.38,4.291,152
7·8급 승진자 역량향상 과정,1,기본(기본),2024-03-12,2024-03-15,인재개발원,28,4.33,4.3,4.3,4.22,4.27,4.274,153
지방의회 공무원 실무역량 개발 과정,1,직무(전문),2024-02-21,2024-02-23,인재개발원,17,4.35,4.29,4.24,4.47,4.45,4.269,154
신규 임용(후보)자 과정,5,기본(기본),2024-06-03,2024-06-21,인재개발원,90,4.31,4.14,4.08,4.14,4.42,4.25,155
중견리더 과정,21,기본(기본장기),2024-02-19,2024-12-13,인재개발원,80,4.44,4.24,4.2,4.17,4.42,4.203,156
재난관리 실무 과정,1,직무(전문),2024-03-27,2024-03-29,인재개발원,17,4.06,4.24,4.24,4.18,4.02,4.202,157
보조금 단체 회계실무 과정,1,핵심(도민역량),2024-04-01,2024-04-01,인재개발원,12,4.22,4.22,4.2,4.33,4.31,4.2,158
디자인 플랫폼 활용 과정,1,핵심(디지털),2024-05-17,2024-05-17,인재개발원,25,4.32,4.24,4.28,4.32,4.42,4.198,159
중대재해 예방 실무 과정,1,직무(전문),2024-06-25,2024-06-25,온라인,39,4.16,4.12,4.19,4.09,4.26,4.173,160
보조금 단체 회계실무 과정,3,핵심(도민역량),2024-05-13,2024-05-13,현장캠퍼스,33,4,4.15,4.23,3.96,4.26,4.101,161
기획능력 향상 과정,2,직무(공통),2024-06-12,2024-06-14,인재개발원,29,4.14,4.1,4,3.79,4.24,4.081,162
시·군 팀장 리더십 과정,6,기본(리더십),2024-10-23,2024-10-25,현장캠퍼스,20,4.2,4.1,4.05,3.95,4.2,4.075,163
예산회계 실무 과정,2,직무(공통),2024-07-17,2024-07-19,인재개발원,17,4,4.24,4.29,3.94,4.49,4.052,164
보조금 단체 회계실무 과정,5,핵심(도민역량),2024-06-03,2024-06-03,현장캠퍼스,36,3.88,4.08,4.4,3.8,4.3,4.018,165
보조금 단체 회계실무 과정,4,핵심(도민역량),2024-05-14,2024-05-14,인재개발원,22,3.88,3.88,3.94,3.94,4.19,3.982,166
"세대와 마음을 잇는 소통 ON, 공감 UP",1,기본(기본),2025-03-13,2025-03-14,현장캠퍼스,18,4.89,4.89,4.89,4.89,4.93,4.89,1
1인 방송과 영상제작 과정,1,핵심(디지털),2025-04-23,2025-04-25,인재개발원,29,4.93,4.89,4.86,4.93,4.95,4.88,2
생성형 AI 실습 과정,2,핵심(디지털),2025-07-23,2025-07-25,인재개발원,28,4.96,4.92,4.92,4.92,4.96,4.87,3
경남의 섬 과정,1,직무(인문·소양),2025-04-15,2025-04-18,현장캠퍼스,32,4.77,4.87,4.77,4.83,4.92,4.84,4
드론 이해와 실전 활용 과정,1,기본(기본),2025-05-21,2025-05-23,현장캠퍼스,19,4.89,4.78,4.67,4.89,4.89,4.83,5
파워포인트 활용 과정,1,핵심(디지털),2025-06-19,2025-06-19,인재개발원,30,4.92,4.88,4.81,4.85,4.89,4.82,6
7·8급 승진자 역량향상 과정,3,기본(기본),2025-05-27,2025-05-30,인재개발원,11,4.9,4.8,4.8,4.9,4.93,4.82,7
승마 과정,1,직무(인문·소양),2025-03-12,2025-03-14,현장캠퍼스,19,4.89,4.94,4.89,4.78,4.87,4.8,8
