교육과정,세분류,인정시간,학습시간,인정비율,개발연도,개발월,비고
[온캠] 한번에 끝내는 임상심리사 2급 필기 2과목_이상심리학,임상심리사,7,16,0.4375,2024,2,민간위탁사이버교육
[온캠] 한번에 끝내는 임상심리사 2급 필기 3과목_심리검사,임상심리사,7,16,0.4375,2024,2,민간위탁사이버교육
[온캠] 한번에 끝내는 임상심리사 2급 필기 4과목_임상심리학,임상심리사,7,16,0.4375,2024,2,민간위탁사이버교육
인사평가체계 구축 및 운영 방법,인사평가,7,16,0.4375,2023,3,민간위탁사이버교육
NEW 업무에서 활용가능한 실전 근로기준법(2024),인사노무,11,16,0.6875,2024,6,민간위탁사이버교육
칼 세이건의 『코스모스』 인문학적 읽기,인문학,6,16,0.375,2022,10,민간위탁사이버교육
신화와 민담의 분석심리학적 이해,인문학,5,16,0.3125,2024,3,민간위탁사이버교육
[영화와 고전으로 알아보는] 5 Step 인문학 리더십,인문리더십,3,16,0.1875,2025,1,민간위탁사이버교육
[온캠] 인공지능 활용_서비스 구현 및 전이학습,인공지능이해,9,16,0.5625,2022,3,민간위탁사이버교육
기업의 위기를 극복하는 반전 포인트와 전략(Re:Tipping Point),위기관리,7,16,0.4375,2024,8,민간위탁사이버교육
야 너두 프리미어로 유튜브 뽐나게 편집할 수 있어,영상편집,2,16,0.125,2022,1,민간위탁사이버교육
보이지 않는 것들-두 가지 질문으로 시작하는 철학 입문,역사/철학,8,16,0.5,2023,8,민간위탁사이버교육
강대진과 함께하는 고대 희랍 철학 산책,역사/철학,7,16,0.4375,2024,2,민간위탁사이버교육
마따하리 70일 완성 기초 인도네시아회화 - 기초발음,어휘(문법),3,16,0.1875,2022,3,민간위탁사이버교육
항공수색구조,시책,8,16,0.5,,,나라배움터
[직장수업] 상처받지 않는 인간관계스킬,소통스킬,6,16,0.375,2024,6,민간위탁사이버교육
과학을 채우는 시간 세계를 강타한 글로벌 과학 이슈,소양,3,16,0.1875,,,나라배움터
내 재산을 지키는 방법 - 기획부동산과 경매 필수 지식,부동산,4,16,0.25,2022,3,민간위탁사이버교육
[보고서의 품격(4)]능숙한 보고를 위한 필수 프로세스! 보고의 기술,보고스킬,2,16,0.125,2024,3,민간위탁사이버교육
한방에 컨펌받는 보고서 쓰기,보고서,7,16,0.4375,2023,4,민간위탁사이버교육
[Biz역량강화] 커뮤니케이션과 보고력강화,보고,9,16,0.5625,2024,4,민간위탁사이버교육
고미숙의 『동의보감』 읽기: 몸과 우주 그리고 삶의 비전을 찾아서,문학,7,16,0.4375,2023,5,민간위탁사이버교육
하루 10분! 뇌운동 프로젝트 - 중국어 기초 트레이닝 (2),말하기(회화),5,16,0.3125,2023,9,민간위탁사이버교육
OHAYO! 일본어 기초 마스터 - 어휘 회화 작문,말하기(회화),4,16,0.25,2022,7,민간위탁사이버교육
HELLO! 업무에서 자주 쓰이는 비즈니스 영어 모음,말하기(회화),3,16,0.1875,2022,7,민간위탁사이버교육
[시원스쿨] 진짜학습지 일본어 첫걸음 1,말하기(회화),3,16,0.1875,2022,10,민간위탁사이버교육
OHAYO! 일본어 첫걸음,말하기(회화),3,16,0.1875,2022,7,민간위탁사이버교육
[시원스쿨] 진짜학습지 중국어 발음편,말하기(회화),3,16,0.1875,2022,1,민간위탁사이버교육
칭따오 중국어 회화 중국어 메뉴판 마스터 Step 1,말하기(회화),3,16,0.1875,2023,9,민간위탁사이버교육
[시원스쿨] 진짜학습지 일본어 첫걸음 4,말하기(회화),2,16,0.125,2022,10,민간위탁사이버교육
[시원스쿨] 진짜학습지 일본어 스텝업 4,말하기(회화),2,16,0.125,2022,10,민간위탁사이버교육
"일잘러의 마인드셋 방법, 그릿(Grit)의 기술",마인드셋,7,16,0.4375,2024,8,민간위탁사이버교육
하루 10분! 일본어 읽기의 힘 Step1,듣기(청취),2,16,0.125,2024,6,민간위탁사이버교육
하루 10분! 중국어 읽기의 힘 Step1,독해,3,16,0.1875,2024,6,민간위탁사이버교육
2024 인건비의 세무회계와 4대보험관리실무,노무,12,16,0.75,2024,7,민간위탁사이버교육
채용에서 퇴직까지 인사노무관리 핵심실무,노무,10,16,0.625,2022,10,민간위탁사이버교육
실전 완벽 적용! 사례로 배우는 금융윤리,금융윤리,7,16,0.4375,2023,6,민간위탁사이버교육
"돈 공부의 첫 걸음, 박정호의 의식주 경제",금융상식,15,16,0.9375,2023,11,민간위탁사이버교육
"[HD]구글 스프레드시트, 앱스스크립트 입문, 활용 Part.5 Google Apps Script 프로그래밍 (기초)",구글오피스,7,16,0.4375,2023,5,민간위탁사이버교육
[실전에서 써먹는 리더십] 리더는 신뢰다,관계형성,4,16,0.25,2023,5,민간위탁사이버교육
핵심! 만화로 보는 맨큐의 경제학,경제학,9,16,0.5625,2023,8,민간위탁사이버교육
[꼭짓점 토익 저자 직강] 토익 스피킹 기출의 재구성,TOEIC,4,16,0.25,2023,1,민간위탁사이버교육
[25년 업데이트] 20일 완성 新JLPT 상상 N1(청해),JLPT,9,16,0.5625,2024,6,민간위탁사이버교육
[25년 업데이트] 20일 완성 新JLPT 상상 N2(청해),JLPT,9,16,0.5625,2024,6,민간위탁사이버교육
핵심공략 JLPT N3 모의고사 청해편,JLPT,7,16,0.4375,2022,12,민간위탁사이버교육
답이 바로 들리는 퀵 JLPT N1 - 청해,JLPT,6,16,0.375,2022,9,민간위탁사이버교육
답이 바로 들리는 퀵 JLPT N2 - 청해,JLPT,4,16,0.25,2022,9,민간위탁사이버교육
답이 바로 들리는 퀵 JLPT N3 - 청해,JLPT,3,16,0.1875,2022,9,민간위탁사이버교육
답이 바로 풀리는 퀵 JLPT N3 - 독해,JLPT,3,16,0.1875,2022,9,민간위탁사이버교육
"비즈니스 모델의 트렌드, ESG",ESG,4,16,0.25,2022,9,민간위탁사이버교육
[CS경영전문가] 고객만족도(CSI) 조사와 VOC 관리,CS경영,10,16,0.625,2024,3,민간위탁사이버교육
실전 4주완성! 탄탄 비즈니스 기본 중국어 Step 1, 비즈니스 ,5,16,0.3125,2023,9,민간위탁사이버교육
실전 4주완성! 탄탄 비즈니스 기본 중국어 Step 2, 비즈니스 ,5,16,0.3125,2023,9,민간위탁사이버교육
실전 4주완성! 탄탄 비즈니스 기초 중국어 Step 2, 비즈니스 ,5,16,0.3125,2023,9,민간위탁사이버교육
실전 4주완성! 탄탄 비즈니스 중급 중국어 Step 1, 비즈니스 ,5,16,0.3125,2023,9,민간위탁사이버교육
실전 4주완성! 탄탄 비즈니스 기초 중국어 Step 1, 비즈니스 ,4,16,0.25,2023,9,민간위탁사이버교육
실전 4주완성! 탄탄 비즈니스 중급 중국어 Step 2, 비즈니스 ,4,16,0.25,2023,9,민간위탁사이버교육
프로젝트에 비주얼 더하기,-,7,16,0.4375,2023,2,민간위탁사이버교육
100가지 키워드로 배우는 알기 쉬운 세금상식 3.0,-,5,16,0.3125,2023,12,민간위탁사이버교육
[마음 벌크업] 마음을 지키는 시간,-,1,16,0.0625,2024,1,민간위탁사이버교육
"Made at Home, 나만의 작은 홈카페 & 홈베이킹",홈베이킹,6,15,0.4,2022,7,민간위탁사이버교육
[CX]?고객접점 종사 리더를 위한?CX 콘텐츠 만들기 [MY Con],콘텐츠,3,15,0.2,2024,1,민간위탁사이버교육
런업! 컴퓨터활용능력 1급 필기 - 2과목 스프레드시트 일반 (2025),컴퓨터활용능력,11,15,0.733333333,2024,11,민간위탁사이버교육
"어서오세요! with 박호산X황현석, 오늘의 커피 한잔",커피/와인,6,15,0.4,2022,8,민간위탁사이버교육
"초보 캠퍼를 위한 꼼꼼 가이드,?캠핑의 모든 순간",캠핑,6,15,0.4,2022,1,민간위탁사이버교육
"자연에서 하루 쉼표, 캠핑 & 백패킹",캠핑,6,15,0.4,2023,6,민간위탁사이버교육
"종이 위에 사각사각, 손글씨 & 다이어리 꾸미기",캘리그라피,6,15,0.4,2022,8,민간위탁사이버교육
"감성 한 송이, 손 끝에서 피어나는 꽃 캘리그래피",캘리그라피,6,15,0.4,2023,10,민간위탁사이버교육
누구나 쉽게 무자본으로 돈 버는 취미생활 캘리그라피,캘리그라피,3,15,0.2,2022,1,민간위탁사이버교육
지적재조사 기본,직무,8,15,0.533333333,,,나라배움터
드론활용 재난대응과정,직무,8,15,0.533333333,,,나라배움터
무선통신과 현장지휘,직무,8,15,0.533333333,,,나라배움터
이주민과 인권,직무,8,15,0.533333333,,,나라배움터
건축법,직무,7,15,0.466666667,,,나라배움터
기록문화유산의 이해,직무,7,15,0.466666667,,,나라배움터
대기관측및실습1,직무,7,15,0.466666667,,,나라배움터
대기관측및실습2,직무,7,15,0.466666667,,,나라배움터
대기오염1,직무,7,15,0.466666667,,,나라배움터
대기오염2,직무,7,15,0.466666667,,,나라배움터
소방시설전기Ⅱ,직무,7,15,0.466666667,,,나라배움터
작은도서관 자료관리시스템 운영,직무,7,15,0.466666667,,,나라배움터
"화재예방, 소방시설 설치유지 및 안전관리에 관한 법률",직무,7,15,0.466666667,,,나라배움터
연구데이터 관리계획,직무,7,15,0.466666667,,,나라배움터
지방계약실무,직무,7,15,0.466666667,,,나라배움터
장애인차별금지법,직무,2,15,0.133333333,,,나라배움터
하루에 하나씩 배우는 하루 배움 중국어 1. 병음 편,중국어,4,15,0.266666667,2022,12,민간위탁사이버교육
주린이 탈출! 족집게 주식 과외,주식,5,15,0.333333333,2022,5,민간위탁사이버교육
나를 위한 10분! 참 쉬운 종이접기,종이접기,7,15,0.466666667,2024,10,민간위탁사이버교육
ChatGPT와 재무제표활용(생성형 AI 활용),재무회계,7,15,0.466666667,2024,9,민간위탁사이버교육
포근포근 행복을 수놓는 프랑스 자수,자수,7,15,0.466666667,2024,10,민간위탁사이버교육
푸른아우성과 함께 의연하게 대처하는 성교육,자녀교육,8,15,0.533333333,2024,1,민간위탁사이버교육
답이 바로 풀리는 퀵 DELE A2 독해/작문,자격/시험,6,15,0.4,2024,12,민간위탁사이버교육
국가대표 재활 트레이너의 바른 자세를 만드는 체형교정,운동,7,15,0.466666667,2024,1,민간위탁사이버교육
바른 자세 만들기 프로젝트! 바른 운동 x 바른 자세,운동,6,15,0.4,2024,1,민간위탁사이버교육
K-직장인을 위한 초초간단 3분 스트레칭,운동,6,15,0.4,2024,10,민간위탁사이버교육
한식명장이 알려주는 비법! 나를 위한 건강한 한끼 레시피,요리,6,15,0.4,2024,6,민간위탁사이버교육
"랜선 음악 여행, 이탈리아에 숨겨진 클래식",예술,7,15,0.466666667,2024,6,민간위탁사이버교육
"일본 현지에서 듣는 전국시대, 그 때 그 길을 걷다 5",역사/철학,7,15,0.466666667,2025,1,민간위탁사이버교육
"일본 현지에서 듣는 전국시대, 그 때 그 길을 걷다 3",역사/철학,6,15,0.4,2024,6,민간위탁사이버교육
"일본 현지에서 듣는 전국시대, 그 때 그 길을 걷다 4",역사/철학,6,15,0.4,2024,6,민간위탁사이버교육
"일본 현지에서 듣는 전국시대, 그 때 그 길을 걷다 6",역사/철학,6,15,0.4,2025,1,민간위탁사이버교육
"일본 현지에서 듣는 전국시대, 그 때 그 길을 걷다 1",역사/철학,5,15,0.333333333,2023,7,민간위탁사이버교육
"일본 현지에서 듣는 전국시대, 그 때 그 길을 걷다 2",역사/철학,5,15,0.333333333,2023,7,민간위탁사이버교육
핫크리스탈 센세 사무실에서 자주 쓰는 비즈니스일본어 8주만에 끝내기 (기본표현편),어휘(문법),3,15,0.2,2022,7,민간위탁사이버교육
[코딩]재미있게 배우는 코딩의 시작 - 앱 인벤터 제대로 배우기 (중급) 2022,앱인벤터,6,15,0.4,2022,2,민간위탁사이버교육
[코딩]재미있게 배우는 코딩의 시작 - 앱 인벤터 제대로 배우기 (고급) 2022 - AI (인공지능),앱인벤터,5,15,0.333333333,2022,2,민간위탁사이버교육
[코딩]재미있게 배우는 코딩의 시작 - 앱 인벤터 제대로 배우기 (초급) 2022,앱인벤터,4,15,0.266666667,2022,2,민간위탁사이버교육
김경일 교수의 심리학 콘서트-나는 왜 이럴까,심리,5,15,0.333333333,2022,7,민간위탁사이버교육
사고사례로 보는 철도시스템의 이해,시책,9,15,0.6,,,나라배움터
한국 독립운동과 여성,시책,8.68,15,0.578666667,,,나라배움터
유엔아동권리협약의 이해,시책,8,15,0.533333333,,,나라배움터
차별예방교육,시책,8,15,0.533333333,,,나라배움터
세계인권선언,시책,8,15,0.533333333,,,나라배움터
인권의 이해,시책,8,15,0.533333333,,,나라배움터
반부패 청렴정책의 이해,시책,8,15,0.533333333,,,나라배움터
사회복지와 인권,시책,7,15,0.466666667,,,나라배움터
한국의 민가건축,시책,7,15,0.466666667,,,나라배움터
사회통계의 이해,시책,7,15,0.466666667,,,나라배움터
"삶의 뉴 플랜, 인구교육(저출산 고령사회)",시책,7,15,0.466666667,,,나라배움터
생활 속 저작권 Q&amp;A(인터넷/오락편),시책,7,15,0.466666667,,,나라배움터
생활 속 저작권 Q&amp;A(일상생활편),시책,7,15,0.466666667,,,나라배움터
생활 속 저작권 Q&amp;A(회사/학교편),시책,7,15,0.466666667,,,나라배움터
매일 좋아지는 연습 보이스 디자인,스피치,5,15,0.333333333,2022,11,민간위탁사이버교육
[이론+기출+모의고사 한번에 완성]스포츠지도사2급_한국체육사 (2025),스포츠지도사,10,15,0.666666667,2025,1,민간위탁사이버교육
[이론+기출+모의고사 한번에 완성]스포츠지도사2급_스포츠교육학 (2025),스포츠지도사,7,15,0.466666667,2025,1,민간위탁사이버교육
[이론+기출+모의고사 한번에 완성]스포츠지도사2급_스포츠사회학 (2025),스포츠지도사,7,15,0.466666667,2025,1,민간위탁사이버교육
[이론+기출+모의고사 한번에 완성]스포츠지도사2급_스포츠심리학 (2025),스포츠지도사,7,15,0.466666667,2025,1,민간위탁사이버교육
우리의 근대건축,소양,8,15,0.533333333,,,나라배움터
전통공예의 이해,소양,8,15,0.533333333,,,나라배움터
한국의 전통조경,소양,8,15,0.533333333,,,나라배움터
아프리카 지역의 이해,소양,8,15,0.533333333,,,나라배움터
선생님을 위한 인권플러스,소양,7,15,0.466666667,,,나라배움터
조선왕릉 이야기,소양,7,15,0.466666667,,,나라배움터
한국의 전통복식,소양,7,15,0.466666667,,,나라배움터
한국의 전통예능,소양,7,15,0.466666667,,,나라배움터
신흥무관학교,소양,7,15,0.466666667,,,나라배움터
[온캠] 한번에 끝내는 산림기사 필기 5과목_사방공학,산림기사,9,15,0.6,2024,4,민간위탁사이버교육
"카메라를 넘어 세상을 보는 나만의 눈, 포토테라피",사진,5,15,0.333333333,2022,5,민간위탁사이버교육
운명 속 투자 기회를 잡아라! 사주 재테크,사주,7,15,0.466666667,2024,1,민간위탁사이버교육
"'사주, 시작해볼까'라고 생각한 김에 사주 공부",사주,6,15,0.4,2024,6,민간위탁사이버교육
[온캠] 한번에 끝내는 사무자동화산업기사 실기(2024년도),사무자동화산업기사,8,15,0.533333333,2024,8,민간위탁사이버교육
[HD]사무자동화산업기사 실기 Part.1 스프레드시트 (2023개정),사무자동화산업기사,6,15,0.4,2023,5,민간위탁사이버교육
3D 공간정보 데이터 취득과 빅데이터 시각화(드론포함),빅데이터,6,15,0.4,2024,2,민간위탁사이버교육
상대의 마음을 꿰뚫는 비즈니스 심리 기술(Feat. 그리스 로마 신화),비즈니스역량,6,15,0.4,2024,10,민간위탁사이버교육
"친절한 부동산 투자 가이드, 광수네 복덕방",부동산,5,15,0.333333333,2024,10,민간위탁사이버교육
[보고서의 품격(1)]보고서 작성의 시작! 업무 지시의 능동적 이해,보고서,2,15,0.133333333,2024,3,민간위탁사이버교육
6분 클래식 스페셜 : 삶,문학,2,15,0.133333333,2024,2,민간위탁사이버교육
6분 클래식 스페셜 : 인물,문학,2,15,0.133333333,2024,2,민간위탁사이버교육
회화 속 한 끗 문법 1,문법(어휘),6,15,0.4,2024,1,민간위탁사이버교육
회화 속 한 끗 문법 2,문법(어휘),5,15,0.333333333,2024,1,민간위탁사이버교육
OHAYO! 일본어 기초 마스터 - 발음 문법 패턴,문법(어휘),3,15,0.2,2022,7,민간위탁사이버교육
나의 능력을 10배 높여주는 메모의 기술,메모,4,15,0.266666667,2022,7,민간위탁사이버교육
뉴 일대일 과외 중국어 회화 첫걸음 Step 1,말하기(회화),5,15,0.333333333,2023,9,민간위탁사이버교육
뉴 일대일 과외 중국어 회화 첫걸음 Step 2,말하기(회화),5,15,0.333333333,2023,9,민간위탁사이버교육
현지에서 바로 통하는 하루 10분 맛있는 여행 영어 1,말하기(회화),4,15,0.266666667,2024,1,민간위탁사이버교육
현지에서 바로 통하는 하루 10분 맛있는 여행 일본어 1,말하기(회화),4,15,0.266666667,2024,1,민간위탁사이버교육
[다시중] 다시 시작하는 중국어회화 초급 Step1,말하기(회화),4,15,0.266666667,2023,10,민간위탁사이버교육
[영어로 세계 속으로] 방구석 클래스 with 내셔널 지오그래픽 시즌1,말하기(회화),3,15,0.2,2022,9,민간위탁사이버교육
[영어로 세계 속으로] 방구석 클래스 with 내셔널 지오그래픽 시즌2,말하기(회화),3,15,0.2,2022,9,민간위탁사이버교육
현지에서 바로 통하는 하루 10분 맛있는 여행 영어 2,말하기(회화),3,15,0.2,2024,1,민간위탁사이버교육
[영어로 세계 속으로] 방구석 클래스 with 내셔널 지오그래픽 시즌3,말하기(회화),3,15,0.2,2024,10,민간위탁사이버교육
[영어로 세계 속으로] 방구석 클래스 with 내셔널 지오그래픽 시즌4,말하기(회화),3,15,0.2,2024,10,민간위탁사이버교육
[시원스쿨] 진짜학습지 일본어 스텝업 1,말하기(회화),3,15,0.2,2022,10,민간위탁사이버교육
[시원스쿨] 진짜학습지 일본어 스텝업 3,말하기(회화),3,15,0.2,2022,10,민간위탁사이버교육
현지에서 바로 통하는 하루 10분 맛있는 여행 일본어 2,말하기(회화),3,15,0.2,2024,1,민간위탁사이버교육
현지에서 바로 통하는 하루 10분 맛있는 여행 중국어 1,말하기(회화),3,15,0.2,2024,1,민간위탁사이버교육
현지에서 바로 통하는 하루 10분 맛있는 여행 중국어 2,말하기(회화),3,15,0.2,2024,1,민간위탁사이버교육
참 쉬운 베트남어 1-2,말하기(회화),3,15,0.2,2022,7,민간위탁사이버교육
참 쉬운 베트남어 1-3,말하기(회화),3,15,0.2,2022,7,민간위탁사이버교육
참 쉬운 베트남어 2-2,말하기(회화),3,15,0.2,2022,7,민간위탁사이버교육
참 쉬운 베트남어 2-3,말하기(회화),3,15,0.2,2022,7,민간위탁사이버교육
[시원스쿨] 미국식 실전 영어 훈련소 3-1,말하기(회화),2,15,0.133333333,2022,1,민간위탁사이버교육
[시원스쿨] 미국식 실전 영어 훈련소 3-2,말하기(회화),2,15,0.133333333,2022,1,민간위탁사이버교육
[시원스쿨] 진짜학습지 일본어 첫걸음 3,말하기(회화),2,15,0.133333333,2022,10,민간위탁사이버교육
[시원스쿨] 진짜학습지 일본어 스텝업 2,말하기(회화),2,15,0.133333333,2022,10,민간위탁사이버교육
산티아고 순례길 한 걸음 한 걸음 스페인어 - 기본 문법,말하기(회화),2,15,0.133333333,2024,2,민간위탁사이버교육
산티아고 순례길 한 걸음 한 걸음 스페인어 - 응용 문법,말하기(회화),2,15,0.133333333,2024,2,민간위탁사이버교육
챗GPT로 날로 먹는 콘텐츠 마케팅 자동화 2 - 콘텐츠 자동화,마케팅전략,4,15,0.266666667,2024,6,민간위탁사이버교육
[HD]리눅스마스터 1급 (2025) Part.1 통합(1-2차),리눅스마스터,8,15,0.533333333,2025,1,민간위탁사이버교육
하루 10분! 뇌운동 프로젝트 - 프랑스어 기초 트레이닝 ,듣기(청취),3,15,0.2,2022,9,민간위탁사이버교육
하루 10분! 일본어 읽기의 힘 Step2,듣기(청취),2,15,0.133333333,2024,6,민간위탁사이버교육
하루 10분! 중국어 읽기의 힘 Step2,독해,2,15,0.133333333,2024,6,민간위탁사이버교육
이런 고전 처음이지 인생을 바꿀 쉬운 논어!,독서,6,15,0.4,2024,6,민간위탁사이버교육
AI 시대 일잘러의 필수 역량! 데이터 분석 업무에 적용하기,데이터활용,6,15,0.4,2024,6,민간위탁사이버교육
"[어쩌다 직장인] 스페셜 상담, 오피스 빌런과의 윈윈 대화법",대화법,4,15,0.266666667,2024,7,민간위탁사이버교육
나를 위한 가장 작은 성실! 어른의 일기,글쓰기,7,15,0.466666667,2024,1,민간위탁사이버교육
[한겨레교육] 오기환의 성공하는 시나리오의 공식 : 심화편,글쓰기,6,15,0.4,2023,1,민간위탁사이버교육
고도원의 힐링 서재,글쓰기,6,15,0.4,2023,12,민간위탁사이버교육
사이다로 톡 쏘는 잘 팔리는 글쓰기 - 돈이 되는 글,글쓰기,4,15,0.266666667,2022,5,민간위탁사이버교육
사이다로 톡 쏘는 잘 팔리는 글쓰기 - 일 잘하는 글,글쓰기,4,15,0.266666667,2022,5,민간위탁사이버교육
"돈 되는 취미생활, 지금 바로 시작! 이모티콘",그림그리기,6,15,0.4,2024,10,민간위탁사이버교육
"핸드메이드 감성 소품, 리본공예",공예,7,15,0.466666667,2023,10,민간위탁사이버교육
추억 소환! 종이접기 리턴즈,공예,6,15,0.4,2022,2,민간위탁사이버교육
"감성을 엮는 시간, 라탄 공예",공예,6,15,0.4,2022,7,민간위탁사이버교육
힐링 캔들 공방,공예,6,15,0.4,2022,8,민간위탁사이버교육
고윤기 변호사의 계약서의 검토와 작성법 실무,계약서,6,15,0.4,2024,7,민간위탁사이버교육
첫걸음 토익 스피킹 초중급 (110~150점) - STEP1,TOEIC Speaking,2,15,0.133333333,2024,9,민간위탁사이버교육
첫걸음 토익 스피킹 초중급 (110~150점) - STEP2,TOEIC Speaking,2,15,0.133333333,2024,9,민간위탁사이버교육
첫걸음 토익 스피킹 중고급 (160점 이상) - STEP1,TOEIC Speaking,2,15,0.133333333,2024,9,민간위탁사이버교육
첫걸음 토익 스피킹 중고급 (160점 이상) - STEP2,TOEIC Speaking,2,15,0.133333333,2024,9,민간위탁사이버교육
첫걸음 오픽 AL(1급) - STEP1,OPIC,3,15,0.2,2024,9,민간위탁사이버교육
첫걸음 오픽 AL(1급) - STEP2,OPIC,3,15,0.2,2024,9,민간위탁사이버교육
첫걸음 오픽 IH(2급) - STEP1,OPIC,2,15,0.133333333,2024,9,민간위탁사이버교육
첫걸음 오픽 IH(2급) - STEP2,OPIC,2,15,0.133333333,2024,9,민간위탁사이버교육
첫걸음 오픽 IM(3급) - STEP1,OPIC,2,15,0.133333333,2024,9,민간위탁사이버교육
첫걸음 오픽 IM(3급) - STEP2,OPIC,2,15,0.133333333,2024,9,민간위탁사이버교육
한번에 합격! JLPT 기초,JLPT,3,15,0.2,2023,4,민간위탁사이버교육
정소연의 전략의신 HSK5급 기출문제풀이 독해. 쓰기편,HSK,14,15,0.933333333,2022,1,민간위탁사이버교육
답이 바로 들리는 퀵 HSK6급 기출문제풀이 듣기편,HSK,11,15,0.733333333,2023,9,민간위탁사이버교육
답이 바로 풀리는 퀵 HSK5급 기출문제풀이 독해. 쓰기편,HSK,9,15,0.6,2023,9,민간위탁사이버교육
왕리의 핵심 포인트 지존 HSK6급 기출문제풀이 듣기편,HSK,8,15,0.533333333,2022,1,민간위탁사이버교육
답이 바로 풀리는 퀵 HSK3급 기출문제풀이 독해. 쓰기편,HSK,7,15,0.466666667,2023,9,민간위탁사이버교육
이명진의 자존감UP HSK4급 기출문제풀이 독해. 쓰기편,HSK,7,15,0.466666667,2022,1,민간위탁사이버교육
이선민의 일단합격 HSK3급 기출문제풀이 독해. 쓰기편,HSK,4,15,0.266666667,2022,1,민간위탁사이버교육
답이 바로 풀리는 퀵 HSK4급 기출문제풀이 독해. 쓰기편,HSK,3,15,0.2,2023,9,민간위탁사이버교육
OMG(Oh! My G-telp)-실전 기출 유형 2,G-telp,7,15,0.466666667,2023,7,민간위탁사이버교육
OMG(Oh! My G-telp)-지텔프 보카 시즌2,G-telp,6,15,0.4,2023,2,민간위탁사이버교육
국제해양법,Gov-MOOC,7,15,0.466666667,,,나라배움터
[리얼오피스] 일잘러의 진짜 엑셀 - 기본 편,EXCEL,5,15,0.333333333,2022,7,민간위탁사이버교육
[리얼오피스] 일잘러의 진짜 엑셀 - 활용 편,EXCEL,5,15,0.333333333,2022,7,민간위탁사이버교육
누구나 쉽게 3D펜 배우기,3D펜,1,15,0.066666667,2022,11,민간위탁사이버교육
칭따오 비즈니스 중국어 회화 Step 2, 비즈니스 ,5,15,0.333333333,2023,9,민간위탁사이버교육
"불확실의 시대, 나를 돌보는 힘! 자기효능감",-,7,15,0.466666667,2023,7,민간위탁사이버교육
"어서 와! 이탈리아는 처음이지, 본격 이탈리아 도시 여행",-,7,15,0.466666667,2023,10,민간위탁사이버교육
"어서 와! 미국은 처음이지, 미국에서 만나는 우리가 몰랐던 미국 이야기",-,6,15,0.4,2023,12,민간위탁사이버교육
디지털 환경에서 신뢰와 호감을 높이는 온라인 커뮤니케이션,-,5,15,0.333333333,2022,11,민간위탁사이버교육
알아두면 쓸데있는 CX 잡학상식 알쓸CX잡,-,2,15,0.133333333,2022,1,민간위탁사이버교육
전문직 종사자를 위한 6개월만에 ‘글로’ 매출 2배 올리기,-,2,15,0.133333333,2022,6,민간위탁사이버교육
독서토론코칭,직무,7,14,0.5,,,나라배움터
다중이용업소 안전관리에 관한 특별법 제정,직무,7,14,0.5,,,나라배움터
도서관 동아리 운영하기,직무,7,14,0.5,,,나라배움터
지속가능발전과 환경경영,직무,7,14,0.5,,,나라배움터
답이 바로 풀리는 퀵 DELE A2 듣기/회화,자격/시험,7,14,0.5,2024,12,민간위탁사이버교육
[다시일] 다시 시작하는 일본어회화 초급 Step1,어휘(문법),4,14,0.285714286,2023,10,민간위탁사이버교육
슬기로운 에너지생활,시책,7,14,0.5,,,나라배움터
한국표준직업분류,소양,7,14,0.5,,,나라배움터
[HD]사무자동화산업기사 필기 - 제4과목 정보통신개론 (2023 개정),사무자동화산업기사,6,14,0.428571429,2023,3,민간위탁사이버교육
[HD]사무자동화산업기사 필기 - 제1과목 사무자동화 시스템 (2023 개정),사무자동화산업기사,4,14,0.285714286,2023,1,민간위탁사이버교육
6분 클래식 스페셜 : 사회,문학,2,14,0.142857143,2024,2,민간위탁사이버교육
"[HD](인공지능, 메타버스를 종합적으로 학습할 수 있는) AI 메타버스 에코 프로젝트 vol 1 환경과 생태계",메타버스,5,14,0.357142857,2023,8,민간위탁사이버교육
하루 10분! 뇌운동 프로젝트 - 중국어 기초 트레이닝 (1),말하기(회화),4,14,0.285714286,2023,9,민간위탁사이버교육
도서관과 디지털 리터러시,직무,6,13,0.461538462,,,나라배움터
환경책임보험 전산망 운영,직무,6,13,0.461538462,,,나라배움터
공공용지 보상실무-13,직무,6,13,0.461538462,,,나라배움터
통계적으로 사고하기,직무,6,13,0.461538462,,,나라배움터
답이 바로 풀리는 퀵 DELE A1 독해/작문,자격/시험,4,13,0.307692308,2024,10,민간위탁사이버교육
한국표준산업분류,소양,6,13,0.461538462,,,나라배움터
[시원스쿨] 진짜학습지 중국어 기초편 2,말하기(회화),3,13,0.230769231,2022,1,민간위탁사이버교육
[시원스쿨] 진짜학습지 중국어 기초편 3,말하기(회화),3,13,0.230769231,2022,1,민간위탁사이버교육
[시원스쿨] 진짜학습지 중국어 기초편 4,말하기(회화),3,13,0.230769231,2022,1,민간위탁사이버교육
[시원스쿨] 진짜학습지 일본어 첫걸음 2,말하기(회화),2,13,0.153846154,2022,10,민간위탁사이버교육
[시원스쿨] 진짜학습지 중국어 기초편 1,말하기(회화),2,13,0.153846154,2022,1,민간위탁사이버교육
건설공사 공정관리,직무,6,12,0.5,,,나라배움터
자동차 안전관리,직무,6,12,0.5,,,나라배움터
설계변경제도 및 사례,직무,6,12,0.5,,,나라배움터
KDC(6판)자료분류,직무,6,12,0.5,,,나라배움터
KORMARC형식,직무,6,12,0.5,,,나라배움터
